Insurer,Procedure/Service,Procedure/Service Description,Original Effective Date,Revised,Procedure CPT/HCPCS Code,Prior authorization
Ohio Medicaid,,,"Jan. 1, 2024",,Amondys,
Ohio Medicaid,,,"Jan. 1, 2024",,J1426,
Ohio Medicaid,,,"Jan. 1, 2024",,Amvuttra™ J0225,
Ohio Medicaid,,,"Jan. 1, 2024",,Apretude™,
Ohio Medicaid,J0739 Aralast NP®,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,Brineura™
Ohio Medicaid,,,"Jan. 1, 2024",,,J0567
Ohio Medicaid,,,"Jan. 1, 2024",,,Cabenuva™
Ohio Medicaid,,,"Jan. 1, 2024",,,J0741
Ohio Medicaid,,,"Jan. 1, 2024",,,Cerezyme®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1786
Ohio Medicaid,,,"Jan. 1, 2024",,,Cimerli®
Ohio Medicaid,,,"Jan. 1, 2024",,,Q5128
Ohio Medicaid,,,"Jan. 1, 2024",,,Cimzia®*
Ohio Medicaid,,,"Jan. 1, 2024",,,JO717
Ohio Medicaid,,,"Jan. 1, 2024",,,Cinqair®
Ohio Medicaid,,,"Jan. 1, 2024",,,J2786
Ohio Medicaid,,,"Jan. 1, 2024",,,Cinryze®
Ohio Medicaid,,,"Jan. 1, 2024",,,J0598
Ohio Medicaid,,,"Jan. 1, 2024",,,Crysvita®
Ohio Medicaid,,,"Jan. 1, 2024",,,J0584
Ohio Medicaid,,,"Jan. 1, 2024",,,Cutaquig®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1551
Ohio Medicaid,,,"Jan. 1, 2024",,,Daxxify™
Ohio Medicaid,,,"Jan. 1, 2024",,,J0589
Ohio Medicaid,,,"Jan. 1, 2024",,,Elaprase®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1743
Ohio Medicaid,,,"Jan. 1, 2024",,,Elelyso®
Ohio Medicaid,,,"Jan. 1, 2024",,,J3060
Ohio Medicaid,,,"Jan. 1, 2024",,,Elevidys™
Ohio Medicaid,,,"Jan. 1, 2024",,,J1413
Ohio Medicaid,,,"Jan. 1, 2024",,,Elfabrio®
Ohio Medicaid,,,"Jan. 1, 2024",,,J2508
Ohio Medicaid,,,"Jan. 1, 2024",,,Enjaymo®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1302
Ohio Medicaid,,,"Jan. 1, 2024",,,Entyvio®
Ohio Medicaid,,,"Jan. 1, 2024",,,J3380
Ohio Medicaid,,,"Jan. 1, 2024",,,J0180
Ohio Medicaid,,,"Jan. 1, 2024",,,Fasenra™
Ohio Medicaid,,,"Jan. 1, 2024",,,J0517
Ohio Medicaid,,,"Jan. 1, 2024",,,Fensolvi”
Ohio Medicaid,,,"Jan. 1, 2024",,,J1951
Ohio Medicaid,,,"Jan. 1, 2024",,,Feraheme®
Ohio Medicaid,,,"Jan. 1, 2024",,,Q0138
Ohio Medicaid,,,"Jan. 1, 2024",,,Firmagon®
Ohio Medicaid,,,"Jan. 1, 2024",,,J9155
Ohio Medicaid,,,"Jan. 1, 2024",,,FylInetra®
Ohio Medicaid,,,"Jan. 1, 2024",,,Q5130
Ohio Medicaid,,,"Jan. 1, 2024",,,Gamifant®
Ohio Medicaid,,,"Jan. 1, 2024",,,J9210
Ohio Medicaid,,,"Jan. 1, 2024",,,Givlaari®
Ohio Medicaid,,,"Jan. 1, 2024",,,J0223
Ohio Medicaid,,,"Jan. 1, 2024",,,Hemgenix®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1411
Ohio Medicaid,,,"Jan. 1, 2024",,,Hyaluronic acid
Ohio Medicaid,,,"Jan. 1, 2024",,J7320,J7318
Ohio Medicaid,,,"Jan. 1, 2024",,J7324,J7323
Ohio Medicaid,,,"Jan. 1, 2024",,J7328,J7327
Ohio Medicaid,,,"Jan. 1, 2024",,,J7332
Ohio Medicaid,,,"Jan. 1, 2024",,,llaris®
Ohio Medicaid,,,"Jan. 1, 2024",,,J0638
Ohio Medicaid,,,"Jan. 1, 2024",,,llumya™
Ohio Medicaid,,,"Jan. 1, 2024",,,J3245
Ohio Medicaid,,,"Jan. 1, 2024",,,Inflectra®
Ohio Medicaid,,,"Jan. 1, 2024",,,Q5103
Ohio Medicaid,,,"Jan. 1, 2024",,,Injectafer®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1439 IVIG
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,90283
Ohio Medicaid,ne),,"Jan. 1, 2024",,,J2507
Ohio Medicaid,,,"Jan. 1, 2024",,,Lamzede™
Ohio Medicaid,,,"Jan. 1, 2024",,,J0217
Ohio Medicaid,,,"Jan. 1, 2024",,,Lanreotide™
Ohio Medicaid,,,"Jan. 1, 2024",,,J1932
Ohio Medicaid,,,"Jan. 1, 2024",,,Lemtrada®
Ohio Medicaid,,,"Jan. 1, 2024",,,J0202
Ohio Medicaid,,,"Jan. 1, 2024",,,Leqembi®
Ohio Medicaid,,,"Jan. 1, 2024",,,J0174
Ohio Medicaid,,,"Jan. 1, 2024",,,Leqvio® J1306
Ohio Medicaid,,,"Jan. 1, 2024",,,Lumizyme®
Ohio Medicaid,,,"Jan. 1, 2024",,,J0221 Lupron Depot®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1950
Ohio Medicaid,,,"Jan. 1, 2024",,,"Lupron Depot, Eligard®"
Ohio Medicaid,,,"Jan. 1, 2024",,,J9217
Ohio Medicaid,,,"Jan. 1, 2024",,,Luxturna™ J3398
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,Makena®
Ohio Medicaid,,,"Jan. 1, 2024",,J1729,J1726
Ohio Medicaid,,,"Jan. 1, 2024",,,J3397
Ohio Medicaid,,,"Jan. 1, 2024",,,J1437
Ohio Medicaid,,,"Jan. 1, 2024",,,Naglazyme®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1458
Ohio Medicaid,,,"Jan. 1, 2024",,,Nexviazyme®
Ohio Medicaid,,,"Jan. 1, 2024",,,J0219
Ohio Medicaid,,,"Jan. 1, 2024",,,Nplate®
Ohio Medicaid,,,"Jan. 1, 2024",,,J2796
Ohio Medicaid,,,"Jan. 1, 2024",,,Nucala®
Ohio Medicaid,,,"Jan. 1, 2024",,,J2182
Ohio Medicaid,,,"Jan. 1, 2024",,,Ocrevus™
Ohio Medicaid,,,"Jan. 1, 2024",,,J2350
Ohio Medicaid,:),,"Jan. 1, 2024",,,J0491
Ohio Medicaid,,,"Jan. 1, 2024",,,Scenesse®
Ohio Medicaid,,,"Jan. 1, 2024",,,J7352
Ohio Medicaid,,,"Jan. 1, 2024",,,Signifor® LAR
Ohio Medicaid,,,"Jan. 1, 2024",,,J2502
Ohio Medicaid,,,"Jan. 1, 2024",,,Simponi Aria®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1602
Ohio Medicaid,,,"Jan. 1, 2024",,,Skyrizi®
Ohio Medicaid,,,"Jan. 1, 2024",,,J2327
Ohio Medicaid,,,"Jan. 1, 2024",,,Soliris®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1300
Ohio Medicaid,,,"Jan. 1, 2024",,,Somatuline® Depot
Ohio Medicaid,,,"Jan. 1, 2024",,,J1930
Ohio Medicaid,,,"Jan. 1, 2024",,,Spevigo®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1747
Ohio Medicaid,,,"Jan. 1, 2024",,,Spinraza™
Ohio Medicaid,,,"Jan. 1, 2024",,,J2326
Ohio Medicaid,,,"Jan. 1, 2024",,,Spravato™
Ohio Medicaid,,,"Jan. 1, 2024",,,$0013
Ohio Medicaid,,,"Jan. 1, 2024",,,Stelara®
Ohio Medicaid,,,"Jan. 1, 2024",,,J3358
Ohio Medicaid,,,"Jan. 1, 2024",,,Stimufend®
Ohio Medicaid,,,"Jan. 1, 2024",,,Q5127
Ohio Medicaid,,,"Jan. 1, 2024",,,Sunlenca®
Ohio Medicaid,,,"Jan. 1, 2024",,,J1961 Supprelin® LA
Ohio Medicaid,,,"Jan. 1, 2024",,,J9226
Ohio Medicaid,,,"Jan. 1, 2024",,,Synagis®
Ohio Medicaid,,,"Jan. 1, 2024",,,90378
Ohio Medicaid,,,"Jan. 1, 2024",,,Tepezza®
Ohio Medicaid,,,"Jan. 1, 2024",,,J3241
Ohio Medicaid,,,"Jan. 1, 2024",,,Tezspire™
Ohio Medicaid,,,"Jan. 1, 2024",,Q5115,
Ohio Medicaid,cont.),,"Jan. 1, 2024",,Tzield®,
Ohio Medicaid,,,"Jan. 1, 2024",,J9381,
Ohio Medicaid,,,"Jan. 1, 2024",,Ultomiris™,
Ohio Medicaid,,,"Jan. 1, 2024",,J1303,
Ohio Medicaid,,,"Jan. 1, 2024",,Unclassified,
Ohio Medicaid,,,"Jan. 1, 2024",,C9090,
Ohio Medicaid,,,"Jan. 1, 2024",,C9162 C9166,
Ohio Medicaid,,,"Jan. 1, 2024",,C9399 J3490,
Ohio Medicaid,,,"Jan. 1, 2024",,Uplizna®,
Ohio Medicaid,,,"Jan. 1, 2024",,J1823,
Ohio Medicaid,,,"Jan. 1, 2024",,VEGF,
Ohio Medicaid,,,"Jan. 1, 2024",,J0178,
Ohio Medicaid,,,"Jan. 1, 2024",,J2779 Q5124,
Ohio Medicaid,,,"Jan. 1, 2024",,Veopoz® J9376,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,Viltepso™,
Ohio Medicaid,,,"Jan. 1, 2024",,J1427,
Ohio Medicaid,,,"Jan. 1, 2024",,Vimizim®,
Ohio Medicaid,,,"Jan. 1, 2024",,J1322,
Ohio Medicaid,,,"Jan. 1, 2024",,Vyepti™,
Ohio Medicaid,,,"Jan. 1, 2024",,J3032,
Ohio Medicaid,,,"Jan. 1, 2024",,Vyjuvek™,
Ohio Medicaid,,,"Jan. 1, 2024",,J3401,
Ohio Medicaid,,,"Jan. 1, 2024",,Vyondys 53®,
Ohio Medicaid,,,"Jan. 1, 2024",,,J1429
Ohio Medicaid,,,"Jan. 1, 2024",,Vyvgart™,
Ohio Medicaid,,,"Jan. 1, 2024",,J9332,
Ohio Medicaid,,,"Jan. 1, 2024",,Vyvgart Hytrulo™,
Ohio Medicaid,,,"Jan. 1, 2024",,J9334,
Ohio Medicaid,,,"Jan. 1, 2024",,White blood cell colony- stimulating factors*** J1442 J1447 J2506,
Ohio Medicaid,,,"Jan. 1, 2024",,Q5101,
Ohio Medicaid,,,"Jan. 1, 2024",,Q5108,
Ohio Medicaid,,,"Jan. 1, 2024",,Q5122,
Ohio Medicaid,,,"Jan. 1, 2024",,Xembify®,
Ohio Medicaid,,,"Jan. 1, 2024",,Launch,
Ohio Medicaid,,,"Jan. 1, 2024",,"*Please notifications **For C9166, is only Purified **Codes Q5120 and require prior + For above. + For the Prior",
Ohio Medicaid,,,"Jan. 1, 2024",,Please Medications newly Food and you can *** For code and stage renal ***E or prior Prior Provider,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,"Joint, total hip and knee replacement procedures Musculoskeletal",,"Jan. 1, 2024",,24370,
Ohio Medicaid,,,"Jan. 1, 2024",,27130,
Ohio Medicaid,,,"Jan. 1, 2024",,27138,
Ohio Medicaid,,,"Jan. 1, 2024",,27486,
Ohio Medicaid,,,"Jan. 1, 2024",,29868,Prior authorization
Ohio Medicaid,Non-emergent air,,"Jan. 1, 2024",,23470 A0430,required Prior authorization required
Ohio Medicaid,ambulance transport,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,S9960,
Ohio Medicaid,Orthognathic surgery Treatment of maxillofacial/ jaw functional impairment Orthotics and,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,21121 21141 21146 21154 21188 21196 21208 21240 21246 21255,Prior authorization required
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,Prior authorization is required,,"Jan. 1, 2024",,,LO112
Ohio Medicaid,,,"Jan. 1, 2024",,L0810,
Ohio Medicaid,,,"Jan. 1, 2024",,L1000,
Ohio Medicaid,,,"Jan. 1, 2024",,L1310,
Ohio Medicaid,,,"Jan. 1, 2024",,L1700,
Ohio Medicaid,,,"Jan. 1, 2024",,L1755,
Ohio Medicaid,,,"Jan. 1, 2024",,L1840,
Ohio Medicaid,,,"Jan. 1, 2024",,L1860,
Ohio Medicaid,,,"Jan. 1, 2024",,L2000,
Ohio Medicaid,,,"Jan. 1, 2024",,L2030,
Ohio Medicaid,,,"Jan. 1, 2024",,L2038,
Ohio Medicaid,,,"Jan. 1, 2024",,L2126,
Ohio Medicaid,,,"Jan. 1, 2024",,L2526,
Ohio Medicaid,,,"Jan. 1, 2024",,L3265,
Ohio Medicaid,,,"Jan. 1, 2024",,L3720,
Ohio Medicaid,,,"Jan. 1, 2024",,L3764,
Ohio Medicaid,,,"Jan. 1, 2024",,L3905,
Ohio Medicaid,,,"Jan. 1, 2024",,L3976,
Ohio Medicaid,,,"Jan. 1, 2024",,L4010,
Ohio Medicaid,,,"Jan. 1, 2024",,L5020,
Ohio Medicaid,,,"Jan. 1, 2024",,L5105,
Ohio Medicaid,,,"Jan. 1, 2024",,L5210,
